id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet,Mood
1393802269242572802,Fat Cat,Belgique,50 Shades of Compliance.,2011-04-04 13:06:53,448,452,437,False,2021-05-16 05:35:31,Great! Then we have solved the surpopulation problem 🙂 I got already the first shot of mRNA #PfizerBioNTech https://t.co/S3z9gKlQgM,['PfizerBioNTech'],Twitter for iPad,0,0,False,0
1346804993387618308,Conor,Glasgow,22 | Community Pharmacy Technician | Store Manager @ Boots | Passionate about the  future role of pharmacy technicians in community pharmacy | All views my own,2013-09-27 13:30:15,127,122,4676,False,2021-01-06 13:05:07,Delighted that I got the first dose of the #PfizerBioNTech #CovidVaccine yesterday at Glasgow Royal Infirmary despi… https://t.co/kdcnJoyu54,"['PfizerBioNTech', 'CovidVaccine']",Twitter for iPhone,0,7,False,0
1349190098911440897,just_jana🌈,Northwest Arkansas,She/Her. CWF. 6w5. I believe that black lives matter. I am a staunch proponent for radical and limitless inclusion of queer people in the church.,2017-09-27 15:37:20,62,379,1986,False,2021-01-13 03:02:40,It’s been several hours since my first dose of the #PfizerCovidVaccine. The injection site is a little sore and I h… https://t.co/CNrrwKT0rt,['PfizerCovidVaccine'],Twitter for iPhone,0,1,False,0
1339506285331542019,West Sussex,"South East, England","World renowned golf club and heathland golf course located in Southdowns National Park at Pulborough, West Sussex, England,U.K",2013-10-18 19:41:37,1252,861,575,False,2020-12-17 09:42:39,Several #bluetee members (over 80) of @westsussexgolf report a structured &amp; fast #CovidVaccine  process with staff… https://t.co/Lje9b1QEsC,"['bluetee', 'CovidVaccine']",Twitter Web App,0,4,False,0
1368644633203445760,❄🌊❄🌊iChrisg2009🌊❄🌊❄,"Englewood, NJ","I am a man on a mission who wants to make right things that are wrong, for it is WE, The people will continue to stand up for inclusion for all people! #Resist",2008-12-31 00:26:35,1869,4996,30368,False,2021-03-07 19:28:03,10 million more to go w. The administration of the vaccine towards 100 million w. The #Moderna #PfizerBioNTech and… https://t.co/2ZywHG7eNI,"['Moderna', 'PfizerBioNTech']",Twitter for Android,0,0,False,0
1372884245874638849,Gerard Courcy,Boston/Cambridge/NYC/San Fran,"Gerard is a media strategist. Veteran of the US Navy, CEO of a LGBTQ consultancy and works with the Innocence Project, BLM and indie film producers. He/him.",2014-03-09 22:05:52,2060,5001,57231,False,2021-03-19 12:14:45,We got our #Covid19 vaccinations *1st dose* minutes ago.  #PfizerBioNTech developed in Germany.  2nd dose next mont… https://t.co/cKLB9gWP0C,"['Covid19', 'PfizerBioNTech']",Twitter Web App,0,0,False,0
1347168430764519424,Sumit,"London, England","I use @ecosia & @tutanota, a small step to save the planet 🌏.",2020-09-08 18:17:24,5,94,154,False,2021-01-07 13:09:17,"I got my first jab of #PfizerBioNTech vaccine on the eve of 2021. I chose to keep my apprehensions aside, trust the… https://t.co/aDcnor3FFr",['PfizerBioNTech'],Twitter Web App,0,0,False,0
1343629060795195394,Emi Mei,,"Roman, #wine #food #journalist #sommelier #maitre IT, ESP, ENG, DE, FR. I ❤️ #winelover and I’m an Awaken #Patriot",2008-12-27 02:52:58,4567,5000,51404,False,2020-12-28 18:45:06,"Quindi che caxxo li famo a fa’? 
Hence, what the fcuk should we get the jab for? #COVID19 #CovidVaccine… https://t.co/HKHiMKkJjg","['COVID19', 'CovidVaccine']",Twitter for iPhone,0,0,False,0
1354767224683311116,Riikka Kevo,.fi .fr .se .uk .de,The Future is Here. #Covid19 #ZeroTolerance #FineArt #GeoPolitics #Asia #EU #CIS #Money #Urbanism #Optimism #GreenInvestors #EconomyGreens #EconomicGeography,2017-02-19 13:09:04,1139,2497,41882,False,2021-01-28 12:24:11,@Pfizer says the #PfizerBioNTech-vaccine neutralizes the mutations characteristic of the #SouthAfrican #501YV2🇿🇦 an… https://t.co/5eIEnKnrvh,"['PfizerBioNTech', 'SouthAfrican', '501YV2']",Twitter for iPad,0,1,False,0
1351876101279260672,ILKHA,Türkiye,Official Twitter account of Ilke News Agency /,2015-05-22 08:31:12,4480,6,3,True,2021-01-20 12:55:53,"Coronavirus: Iran reports 6,182 new cases, 84 deaths in the last 24 hours #Iran #CoronavirusPandemic #lockdown2021… https://t.co/0KKtAqvLhk","['Iran', 'CoronavirusPandemic', 'lockdown2021']",TweetDeck,2,5,False,0
1363759178444136449,CHEManager International,"Weinheim, Germany","Wiley’s leading media brand providing first-hand information on the global chemical, life science and process industries.  https://t.co/xh8S6IJnaB",2010-01-14 07:42:26,3548,1198,467,False,2021-02-22 07:55:00,"In preliminary results from #Israel, the #PfizerBioNTech shot seemed to stop most recipients from being infected, a… https://t.co/WDZlbdpwh6","['Israel', 'PfizerBioNTech']",TweetDeck,0,0,False,0
1348166925575094273,Dr Amirali Popat,"Brisbane, Queensland",Associate Professor & Director of Research @uqpharmacy #NHMRCCDF President of @AustralianCRS #Nanomedicine #biomaterials #pharmaceutics #drugdelivery #IBD,2016-01-15 04:31:10,1357,1296,10314,False,2021-01-10 07:16:57,@DrShaneRRR @ProfPaulYoung @PalliThordarson P.S both #PfizerBioNTech and #modernavaccine uses #lipidnanoparticles 😊… https://t.co/O3nt5SMdkY,"['PfizerBioNTech', 'modernavaccine', 'lipidnanoparticles']",Twitter for iPhone,1,2,False,0
1457327067238789120,theSun,Petaling Jaya,Breaking news updates from the website of Malaysia's free and largest circulating urban newspaper. Like Thesundaily on Facebook & Instagram.,2009-07-29 01:58:44,151683,465,577,False,2021-11-07 12:40:23,"The number of Covid-19 cases today, 07 November 2021.
Remember to observe safety and protective measures when you’r… https://t.co/yNbJgqQJHI",,Twitter Web App,1,3,False,0
1362331190045396993,Oigetit Fake News Filter - Middle East,Middle East,,2021-01-03 04:16:48,56,45,165,False,2021-02-18 09:20:41,#Breaking - A laboratory study suggests that the dominant local coronavirus variant may reduce antibody protection… https://t.co/G1jAtKq1Mv,['Breaking'],Twitter Web App,0,2,False,0
1458954376060588034,Amelia 💐,DEE-TROIT,Geriatric Millennial,2012-04-28 15:05:56,1825,4511,189263,False,2021-11-12 00:26:43,Received #pfizerbiontech #covidvacccine #booster today at Roc Pharmacy. My #walkin appointment was quick &amp; painless… https://t.co/k22V8Kzfmu,"['pfizerbiontech', 'covidvacccine', 'booster', 'walkin']",Twitter for iPhone,0,0,False,0
1350734557700640768,Matt,South Africa,"Filmmaker & F1 fan
Buy Bitcoin ₿ - manage your own wealth!",2011-09-28 15:07:01,347,241,6248,False,2021-01-17 09:19:48,reports are #PfizerVaccine is no longer safe... #PfizerBioNTech #PfizerCovidVaccine,"['PfizerVaccine', 'PfizerBioNTech', 'PfizerCovidVaccine']",Twitter Web App,0,0,False,0
1352706582992330754,Gregor Kalinkat,"Berlin, Deutschland",Ecologist at @LeibnizIGB | currently working in @AubeNews | tweeting for @AFL_org | subject editor @oikos_journal | @ASAPbio_ ambassador | views are mine,2014-12-03 12:38:11,2395,4203,29513,False,2021-01-22 19:55:56,"@paimadhu some news from #PfizerBioNTech, see report @Reuters 👇 https://t.co/NeCqz9YUH1",['PfizerBioNTech'],Twitter for iPhone,0,0,False,0
